"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"178",20130414,"ATL",9,38,12,4,0,2,9,0,1,0,6,1,4,0,0,2,0,9,3,0,0,0,0,27,11,0,1,0,0
"179",20130415,"TBA",2,30,4,0,0,1,2,0,0,0,2,0,13,2,0,1,0,3,3,3,3,0,0,25,5,0,0,1,0
"180",20130415,"ANA",2,34,9,2,0,2,2,0,0,0,1,0,6,0,1,2,0,6,4,8,8,2,0,24,9,1,0,0,0
"181",20130415,"HOU",2,35,8,1,0,0,2,0,0,0,1,0,8,0,0,0,0,7,5,11,11,1,0,24,10,0,0,0,0
"182",20130415,"CHA",3,34,10,1,0,0,3,0,1,1,2,0,6,0,0,1,0,8,4,4,4,0,0,24,10,0,1,1,0
"183",20130415,"PHI",2,31,5,0,0,1,2,0,0,0,0,0,5,0,0,1,0,2,3,4,4,1,0,24,9,1,0,2,0
"184",20130415,"SDN",6,30,9,1,0,1,5,2,1,0,8,1,4,0,0,3,0,8,4,3,3,0,1,27,9,0,0,2,0
"185",20130415,"WAS",10,40,16,5,0,1,10,1,0,0,2,1,8,0,0,0,0,6,1,3,3,0,0,27,15,0,0,1,0
"186",20130415,"SLN",10,36,10,5,0,0,9,0,0,0,7,0,2,0,0,2,0,6,4,6,6,0,0,27,12,0,0,1,0
"187",20130416,"TBA",4,32,6,1,0,3,4,0,0,0,6,0,9,0,1,0,0,7,4,3,3,0,0,24,12,1,1,0,0
"188",20130416,"BOS",7,32,6,2,0,0,7,0,1,0,9,0,16,1,0,0,0,8,3,2,2,0,0,27,8,0,1,1,0
"189",20130416,"ANA",6,37,10,2,0,0,6,0,0,0,2,0,7,0,0,1,0,6,3,8,8,1,0,24,6,0,0,1,0
